spkid,full_name,pdes,name,class,H
20000317,   317 Roxane (A891 RD),317,Roxane,MBA,9.78
20005027,  5027 Androgeos (1988 BX1),5027,Androgeos,TJN,9.78
20000112,   112 Iphigenia (A870 SA),112,Iphigenia,MBA,9.79
20000193,   193 Ambrosia (A879 DB),193,Ambrosia,MBA,9.79
20000425,   425 Cornelia (A896 YC),425,Cornelia,MBA,9.79
20000661,   661 Cloelia (A908 DD),661,Cloelia,MBA,9.79
20001087,  1087 Arabis (1927 RD),1087,Arabis,MBA,9.79
20004543,  4543 Phoinix (1989 CQ1),4543,Phoinix,TJN,9.79
20000163,   163 Erigone (A876 HC),163,Erigone,MBA,9.8
20000777,   777 Gutemberga (A914 BF),777,Gutemberga,OMB,9.8
20001004,  1004 Belopolskya (A923 RR),1004,Belopolskya,OMB,9.8
20007119,  7119 Hiera (1989 AV2),7119,Hiera,TJN,9.8
20016070, 16070 Charops (1999 RB101),16070,Charops,TJN,9.8
20000551,   551 Ortrud (A904 WC),551,Ortrud,MBA,9.81
20000861,   861 Aida (A917 BF),861,Aida,MBA,9.81
20000949,   949 Hel (A921 EM),949,Hel,MBA,9.81
20005130,  5130 Ilioneus (1989 SC7),5130,Ilioneus,TJN,9.81
20000479,   479 Caprera (A901 VK),479,Caprera,MBA,9.82
20000844,   844 Leontina (A916 TC),844,Leontina,OMB,9.82
20003548,  3548 Eurybates (1973 SO),3548,Eurybates,TJN,9.82
20005648,  5648 Axius (1990 VU1),5648,Axius,TJN,9.82
20000378,   378 Holmia (A893 XA),378,Holmia,MBA,9.83
20000497,   497 Iva (A902 VB),497,Iva,MBA,9.83
20001043,  1043 Beate (1925 HB),1043,Beate,MBA,9.83
20001085,  1085 Amaryllis (1927 QH),1085,Amaryllis,MBA,9.83
20001256,  1256 Normannia (1932 PD),1256,Normannia,OMB,9.83
20004715,  4715 Medesicaste (1989 TS1),4715,Medesicaste,TJN,9.83
20005283,  5283 Pyrrhus (1989 BW),5283,Pyrrhus,TJN,9.83
20000439,   439 Ohio (A898 TA),439,Ohio,MBA,9.84
20000468,   468 Lina (A901 BC),468,Lina,MBA,9.84
20001345,  1345 Potomac (A908 CE),1345,Potomac,OMB,9.84
20000223,   223 Rosa (A882 EA),223,Rosa,MBA,9.85
20000533,   533 Sara (A904 HC),533,Sara,MBA,9.85
20000892,   892 Seeligeria (A918 KC),892,Seeligeria,OMB,9.85
20000524,   524 Fidelio (A904 ED),524,Fidelio,MBA,9.86
20000766,   766 Moguntia (A913 SH),766,Moguntia,MBA,9.86
20000805,   805 Hormuthia (A915 HD),805,Hormuthia,MBA,9.86
20000979,   979 Ilsewa (A922 MA),979,Ilsewa,MBA,9.86
20001001,  1001 Gaussia (A923 PD),1001,Gaussia,OMB,9.86
20001062,  1062 Ljuba (1925 TD),1062,Ljuba,MBA,9.86
20001116,  1116 Catriona (1929 GD),1116,Catriona,MBA,9.86
20001167,  1167 Dubiago (1930 PB),1167,Dubiago,OMB,9.86
20004902,  4902 Thessandrus (1989 AN2),4902,Thessandrus,TJN,9.86
20000166,   166 Rhodope (A876 PB),166,Rhodope,MBA,9.87
20000465,   465 Alekto (A901 AC),465,Alekto,MBA,9.87
20034746, 34746 Thoon (2001 QE91),34746,Thoon,TJN,9.87
20000226,   226 Weringia (A882 OA),226,Weringia,MBA,9.88
20000288,   288 Glauke (A890 DA),288,Glauke,MBA,9.88
20000613,   613 Ginevra (A906 TD),613,Ginevra,MBA,9.88
20000271,   271 Penthesilea (A887 TB),271,Penthesilea,MBA,9.89
